Trials	Fair	Biased	
100	0.46	0.69	
200	0.445	0.71	
300	0.4766666666666667	0.7	
400	0.4875	0.7175	
500	0.512	0.694	
600	0.515	0.7	
700	0.5085714285714286	0.6957142857142857	
800	0.5175	0.695	
900	0.5277777777777778	0.6933333333333334	
1000	0.522	0.694	
1100	0.5218181818181818	0.6990909090909091	
1200	0.5208333333333334	0.7041666666666667	
1300	0.5276923076923077	0.7069230769230769	
1400	0.5178571428571429	0.7042857142857143	
1500	0.5153333333333333	0.7013333333333334	
1600	0.518125	0.700625	
1700	0.5147058823529411	0.7064705882352941	
1800	0.5133333333333333	0.7011111111111111	
1900	0.5121052631578947	0.7010526315789474	
2000	0.5105	0.6975	
2100	0.5119047619047619	0.6985714285714286	
2200	0.5154545454545455	0.6977272727272728	
2300	0.5147826086956522	0.6969565217391305	
2400	0.51375	0.6983333333333334	
2500	0.512	0.6996	
2600	0.5146153846153846	0.6984615384615385	
2700	0.5159259259259259	0.7	
2800	0.5114285714285715	0.6996428571428571	
2900	0.51	0.703103448275862	
3000	0.512	0.7043333333333334	
3100	0.5125806451612903	0.7038709677419355	
3200	0.5134375	0.705625	
3300	0.5163636363636364	0.703030303030303	
3400	0.5164705882352941	0.7041176470588235	
3500	0.5162857142857142	0.7005714285714286	
3600	0.5172222222222222	0.6997222222222222	
3700	0.5164864864864865	0.6986486486486486	
3800	0.5155263157894737	0.6989473684210527	
3900	0.5123076923076924	0.7012820512820512	
4000	0.511	0.702	
4100	0.5107317073170732	0.7	
4200	0.5073809523809524	0.7011904761904761	
4300	0.5065116279069768	0.7025581395348838	
4400	0.5047727272727273	0.7018181818181818	
4500	0.504	0.702	
4600	0.5047826086956522	0.703695652173913	
4700	0.5059574468085106	0.7044680851063829	
4800	0.5052083333333334	0.70375	
4900	0.5059183673469387	0.7046938775510204	
5000	0.506	0.7054	
5100	0.5064705882352941	0.7056862745098039	
5200	0.5063461538461539	0.7032692307692308	
5300	0.5069811320754717	0.7032075471698114	
5400	0.5074074074074074	0.7035185185185185	
5500	0.5074545454545455	0.7050909090909091	
5600	0.5092857142857142	0.7066071428571429	
5700	0.5089473684210526	0.7068421052631579	
5800	0.5108620689655172	0.7060344827586207	
5900	0.51	0.7052542372881356	
6000	0.5106666666666667	0.705	
6100	0.5104918032786885	0.7040983606557377	
6200	0.5093548387096775	0.7033870967741935	
6300	0.5087301587301587	0.7034920634920635	
6400	0.50765625	0.70421875	
6500	0.5081538461538462	0.7049230769230769	
6600	0.5087878787878788	0.7037878787878787	
6700	0.5085074626865672	0.7047761194029851	
6800	0.5102941176470588	0.705	
6900	0.5101449275362319	0.7057971014492753	
7000	0.5102857142857142	0.7055714285714285	
