n,mergesort2_time,mergesort3_time
1000,0.000000,0.000000
5000,0.000000,0.000000
10000,0.001000,0.002000
50000,0.005000,0.005000
100000,0.010000,0.011000
300000,0.034000,0.030000
500000,0.058000,0.052000
1000000,0.119000,0.107000
2000000,0.243000,0.219000
